ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0032986	protein-DNA complex disassembly	15/4813	21/18614	1.57E-05	3.82E+00	0.000109504	SMARCD1/HMGA1/SMARCD2/RPL23/SMARCB1/SSRP1/SMARCD3/SMARCE1/ARID1A/ARID2/SUPT16H/SMARCC2/GRWD1/SMARCC1/SMARCA4	15
BP	GO:0044090	positive regulation of vacuole organization	15/4813	21/18614	1.57E-05	3.82E+00	0.000109504	SNX18/SNX7/PIP4K2A/WIPI1/RAB3GAP1/RAB3GAP2/RALB/SH3GLB1/SNX4/PIP4K2C/LRSAM1/GRN/PIP4K2B/BECN1/WDR45	15
BP	GO:1903146	regulation of autophagy of mitochondrion	22/4813	37/18614	1.58E-05	3.82E+00	0.000109673	HIF1A/VDAC1/TSPO/HAX1/CTTN/TIGAR/HDAC6/FBXO7/BNIP3L/DNM1L/FKBP8/CSNK2A2/GSK3A/PARK7/SLC25A5/SLC25A4/HTRA2/TSC2/VPS13C/HTT/VPS13D/BNIP3	22
BP	GO:0071478	cellular response to radiation	76/4813	191/18614	1.60E-05	3.81E+00	0.000111157	ACTR5/ZMPSTE24/PPID/EIF2AK4/CRYAB/CUL4B/NOC2L/ITGB6/EIF2S1/ERCC4/BAX/AURKB/ECT2/LIG4/HSF1/BCL2L1/SMPD1/HYAL2/SFRP1/SIRT1/N4BP1/TREX1/IMPACT/IFI16/NUCKS1/NEDD4/NIPBL/RUVBL2/DHX36/USP47/TNKS1BP1/NPM1/NMT1/ATM/TP53BP1/PCNA/EEF1D/POLD1/DDB1/CUL4A/AKT2/FIGNL1/MAPK14/PTPRK/HSPA5/MME/INTS7/XRCC5/GRB2/POLD3/BRCC3/METTL3/RPL26/DNM2/NMT2/PARP1/PBK/RDH11/MMP2/KDM1A/XRCC6/TMEM109/YAP1/HRAS/WRN/RBX1/ATR/ERCC1/BAK1/CCND2/CHEK1/SDE2/TRIAP1/CDKN1A/RAD51/PRKCD	76
BP	GO:0051262	protein tetramerization	42/4813	90/18614	1.61E-05	3.81E+00	0.000111746	APIP/GBP5/OSBPL2/ACACA/VASP/OXA1L/STK4/FARSB/SAMHD1/RRM2/FKRP/APPL2/TK1/SHMT1/ACOT13/ALDH9A1/SNCA/FARSA/CRYZ/HSD17B10/HPRT1/ALDOA/CPSF6/SHMT2/SSBP1/GOLGA2/STK3/CPSF7/SOD2/B2M/GLS/THG1L/KRT1/NUDT21/RRM1/ME1/ALDH1A3/CUTC/USP16/KRT10/PKD2/TRPM4	42
BP	GO:0030521	androgen receptor signaling pathway	26/4813	47/18614	1.65E-05	3.81E+00	0.000113691	RWDD1/FOXP1/PKN1/DDX5/HDAC1/RNF14/HDAC6/ZBTB7A/SFRP1/SIRT1/DAB2/ZMIZ1/UBE3A/ARID1A/DAXX/DDX17/DNAJA1/NCOR2/RHOA/FKBP4/PARK7/NCOR1/SAFB2/KDM1A/TMF1/SMARCA4	26
BP	GO:0035196	miRNA processing	26/4813	47/18614	1.65E-05	3.81E+00	0.000113691	TGFB1/AGO3/TARBP2/ZMPSTE24/TRUB1/NUP155/DDX5/ZC3H7A/DICER1/SRRT/NCBP2/ZC3H7B/PUM1/ADAR/SMAD3/AGO2/SMAD2/STAT3/PRKRA/NCBP1/PUM2/METTL3/HNRNPA2B1/SNIP1/SRSF3/DGCR8	26
BP	GO:0070849	response to epidermal growth factor	26/4813	47/18614	1.65E-05	3.81E+00	0.000113691	ZFP36L1/BAG4/MAPK3/DUSP3/DAB2/ZPR1/INPP5K/PTPN11/PTPN12/EEF1A1/ZFP36L2/BAIAP2/IQGAP1/PPP1R9B/AKT1/MAPK1/EGFR/TPR/MED1/PLCG1/NCL/MCM7/SYAP1/COL1A1/BECN1/KNSTRN	26
BP	GO:0090224	regulation of spindle organization	26/4813	47/18614	1.65E-05	3.81E+00	0.000113691	GPSM2/CEP97/EML3/TPX2/CHMP5/DYNC1H1/CHMP6/CHMP7/CHMP2B/CHMP4B/VPS4B/CLTC/CHMP1A/CHMP4A/DCTN1/TPR/NUMA1/NUP62/RAE1/DRG1/HNRNPU/TACC3/PLK1/SPAG5/CHMP2A/CHMP3	26
BP	GO:1901976	regulation of cell cycle checkpoint	26/4813	47/18614	1.65E-05	3.81E+00	0.000113691	ANAPC15/CCNB1/AURKB/RNASEH2B/MAD1L1/PCID2/THOC5/PPP1R10/TTI1/TTI2/LCMT1/DYNC1LI1/DDX39B/INCENP/THOC1/CUL4A/TPR/RPA2/BRCC3/TELO2/CCAR2/MAD2L1/NDC80/BIRC5/CDCA8/RAD51	26
BP	GO:0006458	'de novo' protein folding	24/4813	42/18614	1.67E-05	3.80E+00	0.000114472	TOR1A/HSPA14/HSPA2/GAK/CHCHD4/FKBP1A/DNAJB4/SDF2L1/DNAJC7/PTGES3/CCT2/HSPA8/HSPH1/UGGT1/SDF2/HSPA5/DNAJB1/DNAJB12/DNAJC2/HSPD1/HSPA9/TOR1B/HSPE1/HSPA13	24
BP	GO:0060338	regulation of type I interferon-mediated signaling pathway	24/4813	42/18614	1.67E-05	3.80E+00	0.000114472	SAMHD1/TTLL12/MUL1/STAT2/TREX1/CNOT7/TRIM56/MAVS/YTHDF3/IRF3/ADAR/PTPN11/OAS3/UBE2K/CDC37/FADD/TBK1/WNT5A/METTL3/ISG15/YTHDF2/PTPN1/LSM14A/CACTIN	24
BP	GO:0070198	protein localization to chromosome, telomeric region	19/4813	30/18614	1.70E-05	3.80E+00	0.000115951	CCT4/TPP1/DKC1/ATRX/TERF2IP/CCT3/POT1/TERF2/CCT5/CCT7/TCP1/CCT8/CCT2/CCT6A/GNL3/XRCC5/ATR/WRAP53/NABP2	19
BP	GO:0034644	cellular response to UV	43/4813	93/18614	1.71E-05	3.79E+00	0.000116968	ACTR5/PPID/EIF2AK4/CUL4B/NOC2L/EIF2S1/ERCC4/BAX/AURKB/SMPD1/HYAL2/SIRT1/N4BP1/TREX1/IMPACT/NEDD4/RUVBL2/DHX36/USP47/NPM1/PCNA/POLD1/DDB1/CUL4A/MAPK14/PTPRK/MME/POLD3/METTL3/RPL26/PARP1/PBK/MMP2/KDM1A/RBX1/ATR/ERCC1/BAK1/CHEK1/SDE2/TRIAP1/CDKN1A/PRKCD	43
BP	GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	14/4813	19/18614	1.73E-05	3.79E+00	0.0001174	EXOSC5/DIS3/EXOSC2/NT5C3B/EXOSC8/POLR2G/EXOSC4/EXOSC7/CNOT7/EXOSC6/DIS3L2/DCPS/EXOSC3/EXOSC9	14
BP	GO:0006337	nucleosome disassembly	14/4813	19/18614	1.73E-05	3.79E+00	0.0001174	SMARCD1/HMGA1/SMARCD2/SMARCB1/SSRP1/SMARCD3/SMARCE1/ARID1A/ARID2/SUPT16H/SMARCC2/GRWD1/SMARCC1/SMARCA4	14
BP	GO:0006379	mRNA cleavage	14/4813	19/18614	1.73E-05	3.79E+00	0.0001174	PCF11/CPSF3/NCBP2/CSTF3/CPSF6/CPSF2/CPSF7/NCBP1/CSTF2T/POLR2I/CPSF1/NUDT21/CSTF2/TUT1	14
BP	GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	14/4813	19/18614	1.73E-05	3.79E+00	0.0001174	NME4/NME3/NME2P1/NME1/NME7/UCK2/DTYMK/CTPS1/NME2/CAD/TYMS/CTPS2/TBPL1/UCKL1	14
BP	GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	14/4813	19/18614	1.73E-05	3.79E+00	0.0001174	HIF1A/MAPK7/SIRT1/NOL3/GPX1/HSPB1/TRAP1/PPIA/AKT1/PARK7/NONO/SOD2/HTRA2/BAG5	14
BP	GO:2000786	positive regulation of autophagosome assembly	14/4813	19/18614	1.73E-05	3.79E+00	0.0001174	SNX18/SNX7/PIP4K2A/WIPI1/RAB3GAP1/RAB3GAP2/RALB/SH3GLB1/SNX4/PIP4K2C/LRSAM1/PIP4K2B/BECN1/WDR45	14
BP	GO:0009263	deoxyribonucleotide biosynthetic process	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	DGUOK/RRM2/GUK1/SHMT1/ADK/DTYMK/DUT/DCK/TYMS/RRM1/AK5/TBPL1	12
BP	GO:0009265	2'-deoxyribonucleotide biosynthetic process	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	DGUOK/RRM2/GUK1/SHMT1/ADK/DTYMK/DUT/DCK/TYMS/RRM1/AK5/TBPL1	12
BP	GO:0043101	purine-containing compound salvage	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	DGUOK/PNP/ADSL/ADK/APRT/ADA/PGM2/MTAP/HPRT1/DCK/AMPD2/PRTFDC1	12
BP	GO:0046385	deoxyribose phosphate biosynthetic process	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	DGUOK/RRM2/GUK1/SHMT1/ADK/DTYMK/DUT/DCK/TYMS/RRM1/AK5/TBPL1	12
BP	GO:0046753	non-lytic viral release	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	CHMP5/CHMP6/CHMP7/CHMP2B/CHMP4B/VPS4B/CHMP1A/CHMP4A/VPS4A/CHMP2A/CHMP3/ARL8B	12
BP	GO:1903543	positive regulation of exosomal secretion	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	TSG101/SDC1/SNF8/SDC4/STAM/HGS/VPS4B/SDCBP/PDCD6IP/RAB7A/VPS4A/CHMP2A	12
BP	GO:2000767	positive regulation of cytoplasmic translation	12/4813	15/18614	1.78E-05	3.78E+00	0.00011933	PKM/IGF2BP1/HNRNPD/DHX36/YBX3/CSDE1/SYNCRIP/CNBP/PAIP1/YBX1/HNRNPU/DHX9	12
BP	GO:0045807	positive regulation of endocytosis	44/4813	96/18614	1.81E-05	3.78E+00	0.000120798	TOR1A/FLOT1/APPL1/GREM1/ATAD1/TSG101/AXL/VPS28/CLN3/APPL2/TBC1D5/SMPD1/C3/SYNJ1/NEDD4L/DAB2/SERPINE1/SNCA/AP2M1/LRP1/WASL/SCYL2/CBLL1/CBL/PPT1/ANKFY1/PPP3CA/HNRNPK/CD151/WNT5A/BIN1/RAB21/B2M/DNM2/FMR1/EEF2K/CDC42/ANO6/ITGA2/HIP1/CD63/PPP3CC/RAB31/BICD1	44
BP	GO:0016074	sno(s)RNA metabolic process	13/4813	17/18614	1.82E-05	3.78E+00	0.000121459	EXOSC5/FBL/DKC1/NUDT16/EXOSC2/FBLL1/EXOSC4/EXOSC6/EXOSC10/LARP7/PARN/NOLC1/EXOSC3	13
BP	GO:0046827	positive regulation of protein export from nucleus	13/4813	17/18614	1.82E-05	3.78E+00	0.000121459	PRKACA/EMD/PPM1A/BAG3/XPO4/CAMK1/GSK3B/TPR/GAS6/SFN/ANP32B/RBM22/YWHAE	13
BP	GO:1901657	glycosyl compound metabolic process	39/4813	82/18614	1.85E-05	3.77E+00	0.000123492	AKR1C2/DGUOK/AKR7A2/DPYD/PNP/NME4/ICMT/FUCA1/ABHD10/DNPH1/TK1/OARD1/NT5E/GLA/MACROD1/FUCA2/ADK/APOBEC3B/APRT/NUDT1/ADA/DERA/ATIC/PGM2/MTAP/NT5C2/LCMT2/HPRT1/DTYMK/AKR1A1/NT5C3A/ERH/AKR1B1/AKR1C3/NAGA/PRTFDC1/GUSB/UPP1/UCKL1	39
BP	GO:0099504	synaptic vesicle cycle	78/4813	198/18614	1.91E-05	3.76E+00	0.000126702	DVL1/TOR1A/FBXL20/DNM1/ACTG1/ROCK1/ITSN1/GIT2/RAB5A/SNAPIN/ATP6V1C1/AP3S1/PTEN/CTBP2/GAK/AP3D1/SYNJ2/ATP6AP2/SYNJ1/RAP1A/ATP6V1E1/RAB3A/PPP3R1/AP3M2/GIT1/ARF6/PACSIN1/RAB3GAP1/FCHO2/ATP6V1F/SNCA/AP2M1/CTNNB1/PICALM/ATP6V0D1/ATP6AP1/SNAP23/STXBP1/TPRG1L/ATP6V1D/SCRIB/ATP6V1A/ATP2A2/SCRN1/CTBP1/RAB3B/CANX/ATP6V1B2/NAPA/VPS18/AP2B1/DNAJC5/RAP1B/CDH2/ARHGDIA/SH3GL1/ATP6V1H/CDK5/PFN2/PLAA/AP2S1/SNAP29/ATP6V1G1/BIN1/DNM2/FMR1/PPP3CB/PREPL/ATP6V0A1/STON2/CYFIP1/CASK/ACTB/PPP3CC/SYT1/CADPS2/PRKAR1B/GRIPAP1	78
BP	GO:0051647	nucleus localization	18/4813	28/18614	2.11E-05	3.71E+00	0.000139905	SUN1/PAFAH1B1/TMEM201/DYNC1H1/SUN2/DOCK7/NUDC/MTOR/HOOK3/PCM1/FHOD1/LMNA/LMNB1/DCTN1/BIN1/LMNB2/SYNE2/CDC42	18
BP	GO:0031110	regulation of microtubule polymerization or depolymerization	41/4813	88/18614	2.13E-05	3.71E+00	0.00014108	CDKN1B/KATNB1/CKAP2/TPX2/MAPRE1/MAPRE2/MET/CKAP5/AKAP9/MAP1S/HDAC6/CLASP2/MAP2/MID1/CAMSAP2/GIT1/ARHGEF2/CLASP1/SNCA/TAOK1/SLAIN2/ARHGEF7/MAP1A/MAP1B/RPS3/FKBP4/TBCD/RANGRF/DCTN1/PAK1/NUMA1/ARL2/CAMSAP1/DRG1/STMN2/CLIP1/STMN1/PDE4DIP/WDR47/SPAST/MAPRE3	41
BP	GO:0007007	inner mitochondrial membrane organization	23/4813	40/18614	2.18E-05	3.70E+00	0.000144295	MTX2/TMEM11/DNAJC11/AGK/CHCHD3/TIMM9/GHITM/MTX1/APOO/CHCHD6/AFG3L2/IMMT/LETM1/TIMM8A/NDUFA13/SAMM50/TIMM13/TIMM8B/ROMO1/OPA1/APOOL/HSPA9/TIMM10	23
BP	GO:0030042	actin filament depolymerization	30/4813	58/18614	2.23E-05	3.69E+00	0.000147382	ADD1/MICAL1/CFL1/CAPZB/MTPN/ADD3/GSN/SVIL/CAPZA1/SPTBN4/SPTBN1/MICAL2/RDX/SPTAN1/TWF1/TWF2/PPP1R9B/TRIOBP/FLII/CFL2/EPS8/LIMA1/WDR1/SWAP70/CAPZA2/DSTN/SH3BP1/TMOD3/SPTBN2/LMOD1	30
BP	GO:0000724	double-strand break repair via homologous recombination	69/4813	171/18614	2.25E-05	3.69E+00	0.000148822	RNF138/ZMYND8/ERCC5/RAD21/RPA3/UBQLN4/TERF2IP/SAMHD1/NSMCE1/SMCHD1/ACTR2/ERCC4/POGZ/WDR48/LIG3/NBN/SMC6/CHD4/NUCKS1/NIPBL/RUVBL2/GINS4/MMS19/RUVBL1/ACTL6A/PPP4C/PSMD14/RIF1/RECQL/ATM/INTS3/TP53BP1/PPP4R2/MORF4L2/TRRAP/SFPQ/ARID2/FIGNL1/MCM2/FUS/MCM5/RPA2/FEN1/MCM6/PARP1/RPA1/KDM1A/XRCC1/MCM7/MCM4/TONSL/ACTB/MCM3/MORF4L1/WRN/BRD8/NSMCE2/WRAP53/GINS2/NSMCE4A/EP400/INIP/TOP3A/ZFYVE26/CHEK1/NABP2/MMS22L/RAD51/AP5S1	69
BP	GO:0050792	regulation of viral process	67/4813	165/18614	2.32E-05	3.68E+00	0.000152645	TARBP2/PPID/FAM111A/PPIE/UBP1/SETDB1/TSG101/AXL/EIF2AK2/HACD3/SNF8/TRIM21/PKN2/TRIM5/SMPD1/HMGA2/STOM/TOP2B/N4BP1/GSN/SNX3/CNOT7/PTX3/APOBEC3B/IFI16/INPP5K/MAVS/LARP1/TRIM28/TRIM25/SRPK1/ADAR/PPIH/DYNLT1/TRIM26/TRIM32/LGALS1/LARP7/RSF1/OAS3/BANF1/HEXIM1/PPIA/ILF3/RAD23A/STAU1/CXCL8/IFIT5/DDB1/ZC3HAV1/PDE12/STAT1/P4HB/RAB7A/VAPB/VPS4A/ATG5/IFIT1/KPNA2/TOP2A/FMR1/DHX9/MPHOSPH8/ISG15/TRIM59/TNIP1/SRPK2	67
BP	GO:0051492	regulation of stress fiber assembly	43/4813	94/18614	2.37E-05	3.67E+00	0.000156237	BAG4/PHLDB2/ACTG1/ROCK1/ARAP1/ARHGEF10/TSC1/ROCK2/MET/WASF2/ARHGEF18/PPFIA1/FERMT2/CLASP2/SFRP1/SDC4/S100A10/CCDC88A/PIK3R2/NF2/CLASP1/INPP5K/NRP1/CD47/SMAD3/MTOR/PXN/PFN1/PPM1F/RHOC/FHOD1/CORO2B/RHOA/PFN2/PAK1/LIMCH1/PAK2/TJP1/SORBS3/CDC42/STMN1/TPM1/SLC9A1	43
BP	GO:0008360	regulation of cell shape	58/4813	138/18614	2.44E-05	3.66E+00	0.00016051	MYH14/ZMPSTE24/ARAP1/CDC42EP1/MYO10/MYH9/PARVA/DAPK3/MYH10/TAOK2/ARHGEF18/PLXNB2/FERMT2/GNA12/PLXNA1/SHROOM3/PTK2/FN1/NF2/SH3KBP1/DNMBP/ITGA7/FGD4/GNA13/PALMD/HEXB/RHOJ/PRPF40A/BAIAP2/RDX/ARHGAP35/CRK/ARHGAP18/MARK2/MSN/ALDOA/EPB41L3/DIAPH1/DAG1/EPS8/RASA1/WDR1/CFDP1/DLG1/FMNL3/FBLIM1/RHOG/CYFIP1/ANXA1/LIMD1/TPM1/EZR/PHIP/CDC42SE1/PARVB/CORO1A/MKLN1/FAM171A1	58
BP	GO:0043242	negative regulation of protein-containing complex disassembly	38/4813	80/18614	2.45E-05	3.65E+00	0.000160804	KATNB1/CKAP2/ADD1/TPX2/UBQLN4/SCAF4/CAPZB/MTPN/ADD3/SCAF8/HDAC6/CLASP2/MID1/CAMSAP2/GSN/ARHGEF2/CLASP1/SVIL/CAPZA1/TAOK1/SPTBN4/SPTBN1/RDX/SPTAN1/TWF1/TWF2/TRIOBP/MAP1B/FLII/EPS8/LIMA1/SWAP70/CAPZA2/STMN2/TMOD3/SPTBN2/WDR47/LMOD1	38
BP	GO:2000116	regulation of cysteine-type endopeptidase activity	89/4813	234/18614	2.56E-05	3.64E+00	0.000167741	XIAP/BAD/DAP/AIFM1/RAF1/CTSD/LGMN/BCAP31/TNFAIP8/FIS1/ARL6IP1/CRYAB/MICAL1/PERP/PDCD6/MTCH1/BAX/LAMTOR5/MUL1/BCL10/CASP2/HSF1/RIPK2/HIP1R/PCID2/DIABLO/THBS1/SIRT1/ARL6IP5/NOL3/GSN/UACA/IFI16/INTS1/SRC/PRDX5/SNCA/RPS27L/CD44/IGBP1/VCP/GPX1/BCL2L13/GPI/PML/SMAD3/RPS6KA3/USP47/PRDX3/BID/PDCD5/FAM162A/NDUFA13/FADD/PPM1F/APAF1/AKT1/RPS3/POR/RHOA/ASPH/PARK7/CYFIP2/CAST/CYCS/PIH1D1/GAS6/HTRA2/NLE1/HSPD1/PAK2/PLAUR/HSPE1/SFN/ANP32B/DHCR24/F3/FAS/HIP1/PSMB9/BAK1/BIRC5/CASP8/TRIAP1/ROBO1/DAPK1/TBC1D10A/CRADD/CASP1	89
BP	GO:0034446	substrate adhesion-dependent cell spreading	45/4813	100/18614	2.59E-05	3.63E+00	0.000169178	KIF14/C1QBP/FLNA/DOCK5/PARVA/AXL/LPXN/ITGA4/FERMT2/ILK/SRGAP2/PTK2/FN1/S100A10/DAB2/VAMP3/RAB1A/SRC/NRP1/ARHGEF7/CRKL/CRK/PXN/ITGAV/CALR/ARPC2/TRIOBP/LIMS1/CORO1C/RHOA/P4HB/MYADM/GBP1/LAMB1/LAMC1/ACTN4/DNM2/CDC42/DOCK1/RCC2/ANTXR1/PKP2/FER/KANK1/PARVB	45
BP	GO:0032469	endoplasmic reticulum calcium ion homeostasis	17/4813	26/18614	2.59E-05	3.63E+00	0.000169178	BCAP31/FIS1/TMCO1/BAX/PACS2/TMBIM6/PML/ATP2A2/RAP1GDS1/WFS1/CCDC47/APP/CAMK2D/TGM2/THADA/ITPR1/BAK1	17
BP	GO:1904353	regulation of telomere capping	17/4813	26/18614	2.59E-05	3.63E+00	0.000169178	MAP3K4/MAPK3/ERCC4/AURKB/USP7/TERF2/NBN/SMG6/HNRNPD/ATM/MAPK1/PNKP/RAD50/NEK7/XRCC1/ERCC1/NABP2	17
BP	GO:0090169	regulation of spindle assembly	20/4813	33/18614	2.60E-05	3.63E+00	0.00016955	GPSM2/CEP97/EML3/CHMP5/DYNC1H1/CHMP6/CHMP7/CHMP2B/CHMP4B/VPS4B/CHMP1A/CHMP4A/TPR/NUMA1/DRG1/HNRNPU/PLK1/SPAG5/CHMP2A/CHMP3	20
BP	GO:0072527	pyrimidine-containing compound metabolic process	39/4813	83/18614	2.63E-05	3.63E+00	0.000171243	DPYD/UMPS/NME4/UNG/TK1/ALDH6A1/NME3/NME2P1/ENTPD4/SHMT1/NME1/SLC4A7/CPS1/APOBEC3B/NME7/UCK2/NT5C/MTOR/DCTD/MAPK1/DTYMK/DUT/CTPS1/NME2/DCK/NT5C3A/CMPK1/AK3/DCTPP1/CAD/PRPS1/TYMS/ERH/AK5/CTPS2/NTHL1/TBPL1/UPP1/UCKL1	39
BP	GO:0045732	positive regulation of protein catabolic process	81/4813	209/18614	2.67E-05	3.62E+00	0.000173355	DVL1/CDC20/CDKN1B/PSMD10/DDRGK1/DNAJB2/CD81/BCAP31/BAG2/HECTD1/FAF1/SNX9/HSP90AA1/CUL4B/VPS28/STUB1/ARIH1/AURKA/ITCH/SNF8/RNF14/FBXO22/ATXN3/DAB2/TMTC3/SNX33/SEC22B/STX5/ZYG11B/NEDD4/UBQLN2/VCP/PSMC2/HSPBP1/LRP1/KEAP1/ADAM9/TRIM32/VPS11/RDX/BAG6/PSMC5/PSMC1/PSMC3/NSF/VPS35/NDUFA13/RAD23A/PSMC4/AKT1/PSMC6/MSN/DDB1/ARIH2/SGTA/LPCAT1/GSK3A/GSK3B/USP5/RNF40/UBQLN1/ATG7/RAB7A/PACSIN3/WNT5A/GCLC/IDE/GGA1/CAV1/SNX1/FMR1/TMEM259/NUB1/EZR/LDLR/PLK1/SUMO1/RBX1/ANKIB1/SIRT2/USP13	81
BP	GO:0032527	protein exit from endoplasmic reticulum	26/4813	48/18614	2.73E-05	3.61E+00	0.0001769	ERLEC1/CD81/BCAP31/SEL1L/SAR1B/TM9SF4/VCP/FAF2/UBE2G2/SEC13/SAR1A/DERL1/UBE2J1/HSP90B1/SEC16A/SEC61B/RANGRF/NPLOC4/AUP1/HM13/SYVN1/PREB/OS9/TMEM30A/GCC2/SVIP	26
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	40/4813	86/18614	2.80E-05	3.60E+00	0.000181705	NF1/BAD/RAF1/FAF1/PTEN/STK4/BAX/BCL2L1/DIABLO/SFRP1/TMBIM1/THBS1/SERPINE1/TRADD/ARHGEF2/ITPRIP/HMGB2/GPX1/BID/HMOX1/SP100/FADD/BAG3/DAXX/LGALS3/STK3/GSK3B/PARK7/PEA15/STX4/SORT1/TNFRSF10B/BLOC1S2/DDX47/ICAM1/ZDHHC3/CASP8/DAPK1/FAIM/CRADD	40
BP	GO:0018205	peptidyl-lysine modification	132/4813	374/18614	2.83E-05	3.60E+00	0.000183096	TAF6/SETD3/BRPF1/NAA40/ZMPSTE24/USP22/RTF1/NNMT/HAT1/TOLLIP/VPS33B/SETDB1/NAA50/NSMCE1/NOC2L/N6AMT1/PRKAA1/JMJD6/CTR9/MYBBP1A/GLYR1/SNW1/LOXL2/MUL1/SETD7/IWS1/SENP3/SIRT5/EHMT1/BOD1/HDAC6/LOXL1/DIP2B/MCRS1/ASH1L/LOX/WBP2/SIRT1/WDR82/VIPAS39/SMYD5/DHPS/TAF4/RELA/SMYD3/PLOD1/SMC6/MAP3K7/FKBP10/SNCA/TAF7/CTNNB1/ZMIZ1/TRIM28/UBE2I/HDAC2/PLOD2/SMARCB1/PML/RUVBL2/SIN3A/HINT1/RUVBL1/ACTL6A/PLOD3/BAG6/UHRF2/RIF1/EHMT2/NDUFAB1/WDR5/CTBP1/RBBP5/HDAC7/TRMT112/NFYC/DR1/NELFA/SF3B3/MORF4L2/TRRAP/UBA2/DOHH/POR/HINT2/GNL3/LMNA/PARK7/POLE3/BAZ1B/SF3B1/SMAD4/PIH1D1/HCFC1/ASH2L/SIRT3/RANBP2/ATG5/SF3B5/OGT/NELFE/RANGAP1/CPA4/SMYD2/KDM1A/SAE1/DEK/ZNF451/DDX21/BOD1L1/SUMO3/ACTB/SMARCA5/SUMO1/ENY2/DPY30/MORF4L1/BRD8/NSMCE2/NSMCE4A/EP400/PBXIP1/KAT7/TAF10/EZH2/MEN1/CHEK1/SIRT2/SUPT7L/MBD3/TAF2/TRPM4	132
BP	GO:0009394	2'-deoxyribonucleotide metabolic process	24/4813	43/18614	2.86E-05	3.59E+00	0.000184681	DGUOK/DPYD/PNP/SAMHD1/RRM2/NUDT16/UNG/GUK1/SHMT1/ADK/NT5C/ADA/NT5C2/DTYMK/DUT/DCK/DCTPP1/NUDT15/TYMS/RRM1/AK5/NTHL1/TBPL1/UPP1	24
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	29/4813	56/18614	2.95E-05	3.58E+00	0.000190418	RBM4/FXR2/RBM15/SAP18/DDX5/KHDRBS3/RBM15B/ZBTB7A/KHDRBS1/RNPS1/RBM8A/THRAP3/DDX17/PUF60/YTHDC1/FXR1/HNRNPL/PTBP1/RBM7/RBM25/SMU1/HNRNPA0/FMR1/HNRNPU/TRA2B/TIA1/SRSF6/CELF1/WTAP	29
BP	GO:0051293	establishment of spindle localization	29/4813	56/18614	2.95E-05	3.58E+00	0.000190418	SPDL1/GPSM2/PAFAH1B1/MYH9/MAPRE1/ITGB1/CFL1/DYNC1H1/GPSM1/CLASP2/CLASP1/GJA1/DYNLT1/ZW10/KPNB1/NSFL1C/LLGL1/MAP4/DCTN1/NUMA1/PLK1/SPAG5/MAD2L1/NDC80/HTT/FMN2/NUSAP1/SPIRE1/NDE1	29
BP	GO:0071479	cellular response to ionizing radiation	36/4813	75/18614	2.99E-05	3.58E+00	0.00019245	ZMPSTE24/CRYAB/ITGB6/ECT2/LIG4/HSF1/BCL2L1/SFRP1/SIRT1/TREX1/IFI16/NUCKS1/NIPBL/TNKS1BP1/ATM/TP53BP1/EEF1D/FIGNL1/MAPK14/HSPA5/INTS7/XRCC5/GRB2/BRCC3/RPL26/DNM2/KDM1A/XRCC6/TMEM109/YAP1/HRAS/WRN/ATR/CCND2/CDKN1A/RAD51	36
BP	GO:0035967	cellular response to topologically incorrect protein	51/4813	118/18614	3.01E-05	3.57E+00	0.000193406	TOR1A/DDRGK1/ERLEC1/COPS5/AMFR/HSPA14/NGLY1/EIF2AK2/HSPA2/STUB1/EIF2S1/NCK1/BAX/CDK5RAP3/HSF1/HDAC6/QRICH1/TMED2/ATXN3/DNAJC10/VCP/TMEM33/TMBIM6/SDF2L1/TBL2/UGGT2/UFL1/HSPB8/BAG6/DERL1/BAG3/DAXX/HSPA8/UGGT1/CUL3/WFS1/HSPA5/VAPB/DNAJB12/AUP1/OPTN/HSPD1/HSPA9/STC2/RNF126/OS9/PTPN1/CCND1/HSPA13/BAK1/RHBDD2	51
BP	GO:0051702	biological process involved in interaction with symbiont	51/4813	118/18614	3.01E-05	3.57E+00	0.000193406	DCD/EIF2AK4/RAB5A/PIK3C3/TMEM41B/ROCK2/RRP1B/CFL1/HDAC1/SNW1/CTDP1/MYD88/CAV2/HMGA2/STOM/FN1/CCNK/PTX3/RAB9A/NUCKS1/INPP5K/GPX1/EEA1/SMARCB1/EEF1A1/SAP30BP/VAPA/PSMC3/IGF2R/DDX56/PPIB/CDK9/TARDBP/GAPDH/HSPA8/CCNT1/DDB1/ROMO1/HSPD1/PAIP1/FMR1/YTHDC2/CDC42/FASN/CHD1/SP1/SAP30/SMARCA4/PI4KA/PC/JUN	51
